id,name
3oDbviiivRWhXwIE8hxkVV,The Beach Boys
51Blml2LZPmy7TTiAg47vQ,U2
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.
3koiLjNrgRTNbOwViDipeA,Marvin Gaye
1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole
55Aa2cqylxrFIXC767Z865,Lil Wayne
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
360IAlyVv4PCEVjgyMZrxK,Miguel
7bXgB6jMjp9ATFy66eO08Z,Chris Brown
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
4KWTAlx2RvbpseOGMEmROg,R.E.M.
1uNFoZAHBGtllmzznpCI3s,Justin Bieber
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj
1dfeR4HaWDbWqFHLkxsg1d,Queen
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald
74ASZWbe4lXaubB36ztrGX,Bob Dylan
5INjqkS1o8h1imAzPqGZBb,Tame Impala
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra
49e4v89VmlDcFCMyDv9wQ9,Dean Martin
05fG473iIaoy82BF1aGhL8,Slipknot
31TPClRtHm23RisEBtV3X7,Justin Timberlake
5LfGQac0EIXyAN8aUwmNAQ,The Offspring
2iE18Oxc8YSumAU232n4rW,The Jackson 5
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
26dSoYclwsYLMAKD3tpOr4,Britney Spears
7v4imS0moSyGdXyLgVTIV7,Nat King Cole
0RUEHcBiENFEqxgicqS2ig,The Stranglers
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
3cniTumSiUysiPWXapGx1i,Cutting Crew
4cPHsZM98sKzmV26wlwD2W,Brenda Lee
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers
3RGLhK1IP9jnYFH4BRFJBS,The Clash
4sj6D0zlMOl25nprDJBiU9,Andy Williams
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
7gcCQIlkkfbul5Mt0jBQkg,Dave Stewart
0NKDgy9j66h3DLnN8qu1bB,Eurythmics
4Z8W4fKeB5YxbusRsdQVPb,Radiohead
5MspMQqdVbdwP6ax3GXqum,Annie Lennox
6olE6TJLqED3rqDCT0FyPh,Nirvana
74XFHRwlV6OrjEM0A2NCMF,Paramore
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
2jzc5TC5TVFLXQlBNiIUzE,a-ha
7CyeXFnOrfC1N6z4naIpgo,The Ronettes
5v8jlSmAQfrkTjAlpUfWtu,Perry Como
7K78lVZ8XzkjfRSI7570FF,José Feliciano
391oLRVmoTkumiN79HkTWu,Darlene Love
3Isy6kedDrgPYoTS1dazA9,Sean Paul
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
07XSN3sPlIlB2L2XNcTwJw,KISS
58lV9VcRSjABbAbfWS6skp,Bon Jovi
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
1ZwdS5xdxEREPySFridCfh,2Pac
7dGJo4pcD2V6oG8kP0tJRR,Eminem
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
4RddZ3iHvSpGV4dvATac9X,Papa Roach
2sSGPbdZJkaSE2AbcGOACx,The Marías
3TVXtAsR1Inumwj472S9r4,Drake
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
3Nrfpe0tUJi4K4DXYWgMUX,BTS
1tqZaCwM57UFKjWoYwMLrw,The Cardigans
25uiPmTg16RbhZWAqwLBy5,Charli xcx
21E3waRsmPlU7jZsS13rcj,Ne-Yo
5LHRHt1k9lMyONurDHEdrp,Tyga
5WUlDfRSoLAfcVSX1WnrxN,Sia
3y24n3XhZ96wgwRXjvS17T,Coolio
7oPftvlwr6VrsViSDV7fJY,Green Day
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
4OBJLual30L7gRl5UkeRcT,T.I.
27T030eWyCQRmDyuvr1kxY,Scorpions
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
0NbfKEOTQCcwd6o7wSDOHI,The Game
1UTPBmNbXNTittyMJrNkvw,Blake Shelton
1RyvyyTE3xzB2ZywiAwp0i,Future
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco
35l9BRT7MXmM8bv2WDQiyB,beabadoobee
0TnOYISbd1XYRBk9myaseg,Pitbull
4D75GcNG95ebPtNvoNVXhz,AFROJACK
3AA28KZvwAUcZuOKwyblJQ,Gorillaz
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
1G9G7WwrXka3Z1r7aIDjI7,Outkast
2kCcBybjl3SAtIcwdWpUe3,Lil Peep
0ONHkAv9pCAFxb0zJwDNTy,Pusha T
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
1Xfmvd48oOhEWkscWyEbh9,Lloyd
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
3ipn9JLAPI5GUEo4y4jcoi,Ludacris
6XyY86QOPPrYVGvF9ch6wz,Linkin Park
0NIIxcxNHmOoyBx03SfTCD,Tinashe
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
